,Hindi,Kannada,devanagari_kannada
1633,उन्होंने बताया है कि कैसे एक समय था जब उन्हें मंडी से बाहर अपने फल और सब्जियाँ बेचने में बहुत दिक्कत आती थी |,"ಒಂದು ಸಮಯದಲ್ಲಿ ಹಣ್ಣು, ತರಕಾರಿಗಳನ್ನು ಮಂಡಿಯಲ್ಲಿ ಮಾರಾಟ ಮಾಡಲು ಬಹಳ ಕಷ್ಟವಾಗುತ್ತಿತ್ತು ಎಂಬುದನ್ನು ಅವರು ತಿಳಿಸಿದ್ದಾರೆ.","ऒंदु समयदल्लि हण्णु, तरकारिगळन्नु मंडियल्लि माराट माडलु बहळ कष्टवागुत्तित्तु ऎंबुदन्नु अवरु तिळिसिद्दारॆ."
1634,"अगर वो मंडी से बाहर, अपने फल और सब्जियाँ बेचते थे, तो, कई बार उनके फल, सब्जी और गाड़ियाँ तक जब्त हो जाती थी |","ಆದರೆ ಅವರು ಮಂಡಿಯ ಹೊರಗೆ ತಮ್ಮ ಹಣ್ಣು, ತರಕಾರಿಗಳನ್ನು ಮಾರಿದರೆ, ಅವರ ಹಣ್ಣು–ತರಕಾರಿಗಳು ಹಾಗೂ ಗಾಡಿಯೂ ಜಪ್ತಿಯಾಗುತ್ತಿತ್ತು.","आदरॆ अवरु मंडिय हॊरगॆ तम्म हण्णु, तरकारिगळन्नु मारिदरॆ, अवर हण्णु–तरकारिगळु हागू गाडियू जप्तियागुत्तित्तु."
1635,"लेकिन, 2014 में फल और सब्जियों को APMC Act से बाहर कर दिया गया, इसका, उन्हें और आस-पास के साथी किसानों को बहुत फायदा हुआ |","ಆದರೆ 2014ರಲ್ಲಿ ಹಣ್ಣು–ತರಕಾರಿಯನ್ನು ಎಪಿಎಂಸಿ ಕಾನೂನಿನಿಂದ ಪ್ರತ್ಯೇಕ ಮಾಡಲಾಯಿತು. ಇದರಿಂದ ಅವರಿಗೂ, ಅವರ ಸುತ್ತಮುತ್ತಲ ಇತರ ರೈತರಿಗೂ ಹೆಚ್ಚಿನ ಪ್ರಯೋಜನವಾಯಿತು.","आदरॆ 2014रल्लि हण्णु–तरकारियन्नु ऎपिऎंसि कानूनिनिंद प्रत्येक माडलायितु. इदरिंद अवरिगू, अवर सुत्तमुत्तल इतर रैतरिगू हॆच्चिन प्रयोजनवायितु."
1636,"चार साल पहले, उन्होंने, अपने गाँव के साथी किसानों के साथ मिलकर एक किसान उत्पादक समूह की स्थापना की |",4 ವರ್ಷಗಳ ಹಿಂದೆ ಅವರು ತಮ್ಮ ಹಳ್ಳಿಯ ಇನ್ನಿತರ ರೈತರ ಜೊತೆ ಸೇರಿ ಒಂದು `ರೈತ ಉತ್ಪಾದಕರ ಒಕ್ಕೂಟ’ದ ಸ್ಥಾಪನೆಯನ್ನು ಮಾಡಿರುತ್ತಾರೆ.,4 वर्षगळ हिंदॆ अवरु तम्म हळ्ळिय इन्नितर रैतर जॊतॆ सेरि ऒंदु `रैत उत्पादकर ऒक्कूट’द स्थापनॆयन्नु माडिरुत्तारॆ.
1637,"आज, गाँव के किसान Sweet Corn और baby Corn की खेती करते हैं |",ಇಂದು ಹಳ್ಳಿಯ ರೈತನೂ ಸಹ ಸ್ವೀಟ್‍ಕಾರ್ನ್ ಮತ್ತು ಬೇಬಿಕಾರ್ನ್ ಕೃಷಿ ಮಾಡುತ್ತಾರೆ.,इंदु हळ्ळिय रैतनू सह स्वीट्‍कार्न् मत्तु बेबिकार्न् कृषि माडुत्तारॆ.
1638,"उनके उत्पाद, आज, दिल्ली की आजादपुर मंडी, बड़ी Retail Chain तथा Five Star होटलों में सीधे supply हो रहे हैं |",ಅವರ ಉತ್ಪಾದನೆ ಇಂದು ದೆಹಲಿಯ ಆಜಾಧಪುರದ ಮಂಡಿ ಹಾಗೂ ದೊಡ್ಡ ರೀಟೈಲ್ ಜಾಲ ಹಾಗೂ ಪಂಚತಾರಾ ಹೋಟೆಲುಗಳಿಗೂ ಸಹ ನೇರ ಪೂರೈಕೆ ಆಗುತ್ತಿದೆ.,अवर उत्पादनॆ इंदु दॆहलिय आजाधपुरद मंडि हागू दॊड्ड रीटैल् जाल हागू पंचतारा होटॆलुगळिगू सह नेर पूरैकॆ आगुत्तिदॆ.
1639,"आज, गाँव के किसान sweet corn और baby corn की खेती से, ढ़ाई से तीन लाख प्रति एकड़ सालाना कमाई कर रहे हैं |",ಇಂದು ಹಳ್ಳಿಯ ರೈತರು ಸ್ವೀಟ್‍ಕಾರ್ನ್ ಮತ್ತು ಬೇಬಿಕಾರ್ನ್ ಕೃಷಿಯಿಂದ ಪ್ರತಿ ಎಕರೆಯೊಂದಕ್ಕೆ ಎರಡೂವರೆ ಲಕ್ಷದಿಂದ 3 ಲಕ್ಷ ಹಣವನ್ನು ಗಳಿಸುವಂತಾಗಿದೆ. ,इंदु हळ्ळिय रैतरु स्वीट्‍कार्न् मत्तु बेबिकार्न् कृषियिंद प्रति ऎकरॆयॊंदक्कॆ ऎरडूवरॆ लक्षदिंद 3 लक्ष हणवन्नु गळिसुवंतागिदॆ. 
1640,"इतना ही नहीं, इसी गाँव के 60 से अधिक किसान, net house बनाकर, Poly House बनाकर, टमाटर, खीरा, शिमला मिर्च, इसकी, अलग-अलग variety का उत्पादन करके, हर साल प्रति एकड़ 10 से 12 लाख रूपये तक की कमाई कर रहें हैं |","ಅಷ್ಟೇ ಅಲ್ಲದೆ, ಇದೇ ಹಳ್ಳಿಯ 60ಕ್ಕೂ ಹೆಚ್ಚು ರೈತರು `ನೆಟ್‍ಹೌಸ್’ ಹಾಗೂ `ಪಾಲಿಹೌಸ್’ಗಳನ್ನು ಮಾಡಿಕೊಂಡು ಟೊಮೊಟೊ, ಸೌತೆಕಾಯಿ, ದೊಣ್ಣೆ ಮೆಣಸಿನಕಾಯಿಗಳ ವಿವಿಧ ಪ್ರಬೇಧಗಳನ್ನು ಬೆಳೆಯುತ್ತಿದ್ದಾರೆ. ಹಾಗೂ ಪ್ರತಿ ವರ್ಷ ಎಕರೆಯೊಂದಕ್ಕೆ 10 ರಿಂದ 12 ಲಕ್ಷ ರೂ.ಗಳ ಆದಾಯವನ್ನು ಪಡೆಯುತ್ತಿದ್ದಾರೆ.","अष्टे अल्लदॆ, इदे हळ्ळिय 60क्कू हॆच्चु रैतरु `नॆट्‍हौस्’ हागू `पालिहौस्’गळन्नु माडिकॊंडु टॊमॊटॊ, सौतॆकायि, दॊण्णॆ मॆणसिनकायिगळ विविध प्रबेधगळन्नु बॆळॆयुत्तिद्दारॆ. हागू प्रति वर्ष ऎकरॆयॊंदक्कॆ 10 रिंद 12 लक्ष रू.गळ आदायवन्नु पडॆयुत्तिद्दारॆ."
1641,"जानते हैं, इन किसानों के पास क्या अलग है!",ಈ ರೈತರಲ್ಲಿನ ವಿಭಿನ್ನತೆ ಏನು ಗೊತ್ತಾಯಿತೆ?,ई रैतरल्लिन विभिन्नतॆ एनु गॊत्तायितॆ?
1642,"अपने फल-सब्जियों को, कहीं पर भी, किसी को भी, बेचने की ताकत है, और ये ताकत ही, उनकी, इस प्रगति का आधार है |","ಈ ರೈತನಿಗೆ ಉತ್ಪಾದನೆಗಳಾದ ಹಣ್ಣು, ತರಕಾರಿಗಳನ್ನು ಯಾರಿಗೆ ಬೇಕಾದರೂ, ಎಲ್ಲಿಗೆ ಬೇಕಾದರೂ ಮಾರಾಟ ಮಾಡುವ ಶಕ್ತಿ ಇದೆ, ಈ ಶಕ್ತಿಯೇಅವರ ಈ ಪ್ರಗತಿಗೆ ಆಧಾರ.","ई रैतनिगॆ उत्पादनॆगळाद हण्णु, तरकारिगळन्नु यारिगॆ बेकादरू, ऎल्लिगॆ बेकादरू माराट माडुव शक्ति इदॆ, ई शक्तियेअवर ई प्रगतिगॆ आधार."
1643,"अब यही ताकत, देश के दूसरे किसानों को भी मिली है |",ಅವರ ಇದೇ ಸಾಮಥ್ರ್ಯ ಇಂದು ದೇಶದ ಇತರ ರೈತರಿಗೂಲಭ್ಯವಾಗಿದೆ.,अवर इदे सामथ्र्य इंदु देशद इतर रैतरिगूलभ्यवागिदॆ.
1644,"फल-सब्जियों के लिए ही नहीं, अपने खेत में, वो जो पैदा कर रहें हैं - धान, गेहूं, सरसों, गन्ना जो उगा रहे हैं, उसको अपनी इच्छा के अनुसार, जहाँ ज्यादा दाम मिले,वहीँ पर, बेचने की, अब, उनको आज़ादी मिल गई है|","ಕೇವಲ ಹಣ್ಣು–ತರಕಾರಿಯನ್ನಷ್ಟೇ ಅಲ್ಲ; ಅವರು ತಮ್ಮ ಹೊಲಗಳಲ್ಲಿ ವಿವಿಧ ಧಾನ್ಯ, ಸಾಸಿವೆ, ಗೋಧಿ, ಕಬ್ಬು ಇತ್ಯಾದಿ ಏನೆಲ್ಲಾ ಬೆಳೆಯುತ್ತಿದ್ದಾರೋ, ಅವೆಲ್ಲವನ್ನೂ ತಮ್ಮ ಇಚ್ಛಾನುಸಾರ, ಎಲ್ಲಿ ಹೆಚ್ಚಿನ ಬೆಲೆ ದೊರಕುವುದೋ ಅಲ್ಲಿ ಮಾರಾಟ ಮಾಡಲು ಅವರಿಗೆ ಸ್ವಾತಂತ್ರ್ಯ ಸಿಕ್ಕಿದೆ.","केवल हण्णु–तरकारियन्नष्टे अल्ल; अवरु तम्म हॊलगळल्लि विविध धान्य, सासिवॆ, गोधि, कब्बु इत्यादि एनॆल्ला बॆळॆयुत्तिद्दारो, अवॆल्लवन्नू तम्म इच्छानुसार, ऎल्लि हॆच्चिन बॆलॆ दॊरकुवुदो अल्लि माराट माडलु अवरिगॆ स्वातंत्र्य सिक्किदॆ."
1645,"साथियो, तीन–चार साल पहले ही, महाराष्ट्र में, फल और सब्जियों को APMC के दायरे से बाहर किया गया था |","ಆತ್ಮೀಯರೇ, 3-4 ವರ್ಷಗಳ ಹಿಂದೆಯೇ, ಮಹಾರಾಷ್ಟ್ರದಲ್ಲಿ ಹಣ್ಣು ಹಾಗೂ ತರಕಾರಿಗಳನ್ನು ಎಪಿಎಂಸಿ ವ್ಯಾಪ್ತಿಯಿಂದ ಹೊರಗಿಡಲಾಗಿತ್ತು.","आत्मीयरे, 3-4 वर्षगळ हिंदॆये, महाराष्ट्रदल्लि हण्णु हागू तरकारिगळन्नु ऎपिऎंसि व्याप्तियिंद हॊरगिडलागित्तु."
1646,"इस बदलाव ने कैसे महाराष्ट्र के फल और सब्जी उगाने वाले किसानों की स्थिति बदली, इसका उदाहरण हैं, Sri Swami Samarth Farmer’s producer company limited - ये किसानों का समूह है |",ಈ ಬದಲಾವಣೆಯಿಂದ ಹೇಗೆ ಮಹಾರಾಷ್ಟ್ರದ ಹಣ್ಣು ಮತ್ತು ತರಕಾರಿ ಬೆಳೆಗಾರರ ಸ್ಥಿತಿ ಬದಲಾಯಿತು ಎಂಬುದಕ್ಕೆ ಉದಾಹರಣೆ: `ಶ್ರೀ ಸ್ವಾಮಿ ಸಮರ್ಥ್ ಫಾರ್ಮರ್ಸ್ ಪ್ರೊಡ್ಯೂಸರ್ ಕಂಪನಿ ಲಿಮಿಟೆಡ್’. ಇದು ರೈತರ ಒಕ್ಕೂಟ. ಪುಣೆ ಮತ್ತು ಮುಂಬಯಿಯಲ್ಲಿ ರೈತರೇ ವಾರದ ಸಂತೆಯನ್ನು ಖುದ್ದಾಗಿ ನಡೆಸುತ್ತಿದ್ದಾರೆ.,ई बदलावणॆयिंद हेगॆ महाराष्ट्रद हण्णु मत्तु तरकारि बॆळॆगारर स्थिति बदलायितु ऎंबुदक्कॆ उदाहरणॆ: `श्री स्वामि समर्थ् फार्मर्स् प्रॊड्यूसर् कंपनि लिमिटॆड्’. इदु रैतर ऒक्कूट. पुणॆ मत्तु मुंबयियल्लि रैतरे वारद संतॆयन्नु खुद्दागि नडॆसुत्तिद्दारॆ.
1647,पुणे और मुंबई में किसान साप्ताहिक बाज़ार खुद चला रहे हैं |,ಪುಣೆ ಮತ್ತು ಮುಂಬಯಿಯಲ್ಲಿ ರೈತರೇ ವಾರದ ಸಂತೆಯನ್ನು ಖುದ್ದಾಗಿ ನಡೆಸುತ್ತಿದ್ದಾರೆ.,पुणॆ मत्तु मुंबयियल्लि रैतरे वारद संतॆयन्नु खुद्दागि नडॆसुत्तिद्दारॆ.
1648,"इन बाज़ारों में, लगभग 70 गाँवों के, साढ़े चार हज़ार किसानों का उत्पाद, सीधे बेचा जाता है - कोई बिचौलिया नहीं |","ಈ ಮಾರುಕಟ್ಟೆಗೆ ಸರಿಸುಮಾರು 70 ಹಳ್ಳಿಗಳ 4500 ರೈತರ ಉತ್ಪಾದನೆ ನೇರವಾಗಿ ಮಾರಾಟ ಮಾಡಲಾಗುತ್ತದೆ. ಯಾವ ಮಧ್ಯವರ್ತಿಯೂ ಇಲ್ಲದೆ ಗ್ರಾಮೀಣ ಯುವಕರು ನೇರವಾಗಿ ಈಮಾರುಕಟ್ಟೆಯಲ್ಲಿ, ಕೃಷಿ ಮತ್ತು ಮಾರಾಟದ ಪ್ರಕ್ರಿಯೆಯಲ್ಲಿ ಪಾಲ್ಗೊಳ್ಳುತ್ತಿದ್ದಾರೆ.","ई मारुकट्टॆगॆ सरिसुमारु 70 हळ्ळिगळ 4500 रैतर उत्पादनॆ नेरवागि माराट माडलागुत्तदॆ. याव मध्यवर्तियू इल्लदॆ ग्रामीण युवकरु नेरवागि ईमारुकट्टॆयल्लि, कृषि मत्तु माराटद प्रक्रियॆयल्लि पाल्गॊळ्ळुत्तिद्दारॆ."
1649,"ग्रामीण-युवा, सीधे बाज़ार में, खेती और बिक्री की प्रक्रिया में शामिल होते हैं - इसका सीधा लाभ किसानों को होता है, गाँव के नौजवानों को रोजगार में होता है |",ಇದರ ನೇರ ಲಾಭ ರೈತರಿಗೆ ಸೇರುತ್ತದೆ. ಹಾಗೂ ಗ್ರಾಮೀಣ ಯುವಕರಿಗೆ ಉದ್ಯೋಗಾವಕಾಶ ಉಂಟಾಗುತ್ತದೆ.,इदर नेर लाभ रैतरिगॆ सेरुत्तदॆ. हागू ग्रामीण युवकरिगॆ उद्योगावकाश उंटागुत्तदॆ.
1651,"बड़ा लचीली व्यवस्था है, और वो भी पांच–छ:",ಒಳ್ಳೆಯ ಹೊಂದಾಣಿಕೆ ಇರುವ ವ್ಯವಸ್ಥೆ ಇದೆ.,ऒळ्ळॆय हॊंदाणिकॆ इरुव व्यवस्थॆ इदॆ.
1652,साल पहले बनाया है |,ಇದೂ ಸಹ 5-6 ವರ್ಷಗಳ ಹಿಂದೆ ಸ್ಥಾಪನೆವಾದದ್ದು!,इदू सह 5-6 वर्षगळ हिंदॆ स्थापनॆवादद्दु!
1653,"इस किसान समूह ने lockdown के दौरान आसपास के गाँवों से सैकड़ों metric tonne सब्जियाँ, फलों और केले की खरीद की, और, Chennai शहर को, सब्जी combo kit दिया |","ಈ ರೈತರ ಒಕ್ಕೂಟವು, ಲಾಕ್‍ಡೌನ್ ಸಮಯದಲ್ಲಿ ಸುತ್ತಮುತ್ತಲ ಹಳ್ಳಿಗಳಿಂದ ನೂರಾರು ಮೆಟ್ರಿಕ್ ಟನ್ ತರಕಾರಿ, ಹಣ್ಣು ಹಾಗೂ ಬಾಳೆ ಉತ್ಪನ್ನಗಳನ್ನು ಖರೀದಿಸಿತು. ಮತ್ತು ಚೆನ್ನೈ ನಗರದಲ್ಲಿ `ತರಕಾರಿಗಳ ಕೊಂಬೋ ಕಿಟ್’ ನೀಡಿತು.","ई रैतर ऒक्कूटवु, लाक्‍डौन् समयदल्लि सुत्तमुत्तल हळ्ळिगळिंद नूरारु मॆट्रिक् टन् तरकारि, हण्णु हागू बाळॆ उत्पन्नगळन्नु खरीदिसितु. मत्तु चॆन्नै नगरदल्लि `तरकारिगळ कॊंबो किट्’ नीडितु."
1654,"आप सोचिये, कितने नौजवानों को उन्होंने रोजगार दिया, और मज़ा ये है, कि, बिचौलियोँ ना होने के कारण, किसान को भी लाभ हुआ, और, उपभोक्ता को भी लाभ हुआ |","ಇದರಿಂದ ಎಷ್ಟೊಂದು ನವಯುವಕರಿಗೆ ಉದ್ಯೋಗ ಲಭಿಸಿತು, ಯೋಚಿಸಿ! ಮತ್ತು ಸ್ವಾರಸ್ಯವೆಂದರೆ, ಮಧ್ಯವರ್ತಿಗಳಿಲ್ಲದ ಕಾರಣ, ರೈತರಿಗೂ ಹೆಚ್ಚಿನ ಲಾಭ ದೊರಕಿತು. ಬಳಕೆದಾರನಿಗೂ ಲಾಭ ಲಭ್ಯವಾಯಿತು.","इदरिंद ऎष्टॊंदु नवयुवकरिगॆ उद्योग लभिसितु, योचिसि! मत्तु स्वारस्यवॆंदरॆ, मध्यवर्तिगळिल्लद कारण, रैतरिगू हॆच्चिन लाभ दॊरकितु. बळकॆदारनिगू लाभ लभ्यवायितु."
1655,"ऐसा ही एक लखनऊ का, किसानों का समूह है |","ಇದರಂತೆಯೇ, ಇನ್ನೊಂದು ರೈತರ ಒಕ್ಕೂಟ ಲಕ್ನೋದಲ್ಲಿದೆ.","इदरंतॆये, इन्नॊंदु रैतर ऒक्कूट लक्नोदल्लिदॆ."
1656,"उन्होंने, नाम रखा है ‘इरादा फार्मर प्रोडयूसर’ इन्होंने भी, lockdown के दौरान किसानों के खेतों से, सीधे, फल और सब्जियाँ ली, और, सीधे जा करके, लखनऊ के बाज़ारों में बेची - बिचौलियों से मुक्ति हो गई और मन चाहे उतने दाम उन्होंने प्राप्त किये |",ಅವರು `ಇರಾದಾ ಫಾರ್ಮರ್ಸ್ ಪ್ಯೊಡ್ಯೂಸರ್ಸ್’ ಎಂದು ಹೆಸರಿಟ್ಟಿದ್ದಾರೆ. ಇವರೂ ಕೂಡ ಲಾಕ್‍ಡೌನ್ ಸಮಯದಲ್ಲಿ ರೈತರ ಹೊಲದಿಂದ ನೇರವಾಗಿ ಹಣ್ಣು ಮತ್ತು ತರಕಾರಿಗಳನ್ನು ಖರೀದಿಸಿದರು. ಹಾಗೂ ನೇರವಾಗಿ ಲಕ್ನೋದ ಮಾರುಕಟ್ಟೆಯಲ್ಲಿ ಮಾರಾಟ ಮಾಡಿದರು. ಮಧ್ಯವರ್ತಿಗಳಿಂದ ಮುಕ್ತರಾದರು. ಹಾಗೂ ತಮ್ಮ ಇಚ್ಛಾನುಸಾರ ಬೆಲೆಯನ್ನು ನಿಗದಿಪಡಿಸಿ ಯಶಸ್ವಿಯಾದರು.,अवरु `इरादा फार्मर्स् प्यॊड्यूसर्स्’ ऎंदु हॆसरिट्टिद्दारॆ. इवरू कूड लाक्‍डौन् समयदल्लि रैतर हॊलदिंद नेरवागि हण्णु मत्तु तरकारिगळन्नु खरीदिसिदरु. हागू नेरवागि लक्नोद मारुकट्टॆयल्लि माराट माडिदरु. मध्यवर्तिगळिंद मुक्तरादरु. हागू तम्म इच्छानुसार बॆलॆयन्नु निगदिपडिसि यशस्वियादरु.
1657,"साथियो, गुजरात में बनासकांठा के रामपुरा गाँव में इस्माइल भाई करके एक किसान है |","ಬಂಧುಗಳೇ, ಗುಜರಾತ್‍ನಲ್ಲಿ ಬನಾಸಕಾಂಠಾದ ರಾಮಪುರ ಹಳ್ಳಿಯಲ್ಲಿ ರೈತ ಇಸ್ಮಾಯಿಲ್‍ಭಾಯಿ ಇದ್ದಾರೆ.  ","बंधुगळे, गुजरात्‍नल्लि बनासकांठाद रामपुर हळ्ळियल्लि रैत इस्मायिल्‍भायि इद्दारॆ.  "
1658,उनकी कहानी भी बहुत दिलचस्प है |,ಅವರ ಕಥೆಯೂ ರೋಚಕವಾಗಿದೆ.,अवर कथॆयू रोचकवागिदॆ.
1659,"इस्माइल भाई खेती करना चाहते थे, लेकिन, अब, जैसे ज्यादातर सोच बन गई है, उनके परिवार को भी लगता था कि इस्माइल भाई ये कैसी बात कर रहे हैं |","ಇಸ್ಮಾಯಿಲ್ ಭಾಯಿಯವರು ಕೃಷಿಕರಾಗಲು ಬಯಸಿದ್ದರು. ಆದರೆ, ಸಾಮಾನ್ಯವಾಗಿ ಹೆಚ್ಚಿನ ಜನರು ಯೋಚಿಸುವಂತೆ, ಅವರ ಪರಿವಾರದವರಿಗೆ ಇಸ್ಮಾಯಿಲ್ ಅವರ ಈ ಯೋಜನೆ ಇಷ್ಟವಾಗಿರಲಿಲ್ಲ.","इस्मायिल् भायियवरु कृषिकरागलु बयसिद्दरु. आदरॆ, सामान्यवागि हॆच्चिन जनरु योचिसुवंतॆ, अवर परिवारदवरिगॆ इस्मायिल् अवर ई योजनॆ इष्टवागिरलिल्ल."
1660,"इस्माइल भाई के पिता खेती करते थे, लेकिन, इसमें उनको अक्सर नुकसान ही होता था |",ಇಸ್ಮಾಯಿಲ್ ಅವರ ತಂದೆಯೂ ಕೃಷಿಕರಾಗಿದ್ದರು. ಆದರೆ ಅದರಲ್ಲಿ ಅವರು ನಷ್ಟ ಅನುಭವಿಸಿದ್ದರು.,इस्मायिल् अवर तंदॆयू कृषिकरागिद्दरु. आदरॆ अदरल्लि अवरु नष्ट अनुभविसिद्दरु.
1661,"तो पिताजी ने मना भी किया, लेकिन, परिवार वालों के मना करने के बावजूद इस्माइल भाई ने तय किया कि वो तो खेती ही करेंगे |",ಹೀಗಾಗಿ ತಂದೆಯೂ ಕೂಡ ಕೃಷಿ ಬೇಡ ಎಂದಿದ್ದರು. ಇಡೀ ಪರಿವಾರದ ವಿರೋಧದ ನಡುವೆಯೂ ಕೃಷಿಕರಾಗಲು ಇಸ್ಮಾಯಿಲ್ ದೃಢಸಂಕಲ್ಪ ಮಾಡಿದರು.,हीगागि तंदॆयू कूड कृषि बेड ऎंदिद्दरु. इडी परिवारद विरोधद नडुवॆयू कृषिकरागलु इस्मायिल् दृढसंकल्प माडिदरु.
1662,"इस्माइल भाई ने सोच लिया था, कि खेती घाटे का सौदा है, वो, ये सोच, और स्थिति, दोनों को, बदलकर दिखायेंगे |","“ಕೃಷಿ ಇಂದು ನಷ್ಟದ ಕೆಲಸವಾಗಿದೆ. ಆದರೂ ಆ ಮನೋಭಾವ ಹಾಗೂ ವಸ್ತುಸ್ಥಿತಿ ಎರಡನ್ನೂ ಬದಲಾಯಿಸಿ, ಆ ಮೂಲಕ ಕೃಷಿಯ ದಿಕ್ಕನ್ನೇ ಪರಿವರ್ತಿಸುತ್ತೇನೆ’’ ಎಂದು ಇಸ್ಮಾಯಿಲ್‍ಭಾಯಿ ದೀಕ್ಷೆ ತೊಟ್ಟರು.","“कृषि इंदु नष्टद कॆलसवागिदॆ. आदरू आ मनोभाव हागू वस्तुस्थिति ऎरडन्नू बदलायिसि, आ मूलक कृषिय दिक्कन्ने परिवर्तिसुत्तेनॆ’’ ऎंदु इस्मायिल्‍भायि दीक्षॆ तॊट्टरु."
1663,"उन्होंने, खेती शुरु की, लेकिन, नये तरीकों से, innovative तरीके से |",ಅವರು ಕ್ರಿಯಾಶೀಲ ನೆಲೆಯಲ್ಲಿ ಆವಿಷ್ಕಾರ ಮನೋಭಾವದಿಂದ ಹೊಸ ವಿಧಾನದಿಂದ ಕೃಷಿಯನ್ನು ಆರಂಭಿಸಿದರು.,अवरु क्रियाशील नॆलॆयल्लि आविष्कार मनोभावदिंद हॊस विधानदिंद कृषियन्नु आरंभिसिदरु.
1664,"उन्होंने, drip से सिंचाई करके, आलू की खेती शुरू की, और आज, उनके आलू, एक पहचान बन गए हैं |","ಹನಿನೀರಾವರಿ ಯನ್ನು ಜಮೀನಿಗೆ ಅಳವಡಿಸಿ ಆಲೂಗೆಡ್ಡೆ ಕೃಷಿ ಮಾಡಿದರು, ಇಂದು ಅವರು ಬೆಳೆಯುವ ಆಲೂಗೆಡ್ಡೆ ಅತ್ಯುತ್ತಮ ಗುಣಮಟ್ಟದ ಹೆಗ್ಗುರುತಾಗಿದೆ.","हनिनीरावरि यन्नु जमीनिगॆ अळवडिसि आलूगॆड्डॆ कृषि माडिदरु, इंदु अवरु बॆळॆयुव आलूगॆड्डॆ अत्युत्तम गुणमट्टद हॆग्गुरुतागिदॆ."
1665,"इस्माइल भाई, ये आलू, सीधे, बड़ी-बड़ी कंपनियों को बेचते हैं, बिचौलियों का नामों-निशान नहीं, और परिणाम - अच्छा मुनाफा कमा रहे हैं |","ಬೆಳೆದು ನೇರವಾಗಿ ದೊಡ್ಡ ದೊಡ್ಡ ಕಂಪನಿಗಳಿಗೆ ಮಾರಾಟ ಮಾಡುತ್ತಾರೆ. ಮಧ್ಯವರ್ತಿಗಳ ಲವಲೇಶವೂ ಮಧ್ಯಪ್ರವೇಶವಿಲ್ಲದೆ! ಅದರ ಪರಿಣಾಮ, ಹೆಚ್ಚಿನ ಆದಾಯ ಲಭ್ಯವಾಗುತ್ತಿದೆ.","बॆळॆदु नेरवागि दॊड्ड दॊड्ड कंपनिगळिगॆ माराट माडुत्तारॆ. मध्यवर्तिगळ लवलेशवू मध्यप्रवेशविल्लदॆ! अदर परिणाम, हॆच्चिन आदाय लभ्यवागुत्तिदॆ."
1666,"अब तो उन्होंने, अपने पिता का सारा कर्जा भी चुका दिया है और सबसे बड़ी बात जानते हैं!",ಇಸ್ಮಾಯಿಲ್ ತಮ್ಮ ತಂದೆಯ ಎಲ್ಲಾ ಸಾಲಗಳನ್ನೂ ತೀರಿಸಿದ್ದಾರೆ ಎಂಬುದು ಅತ್ಯಂತ ಗಮನಾರ್ಹವಾದ ಅಂಶ.,इस्मायिल् तम्म तंदॆय ऎल्ला सालगळन्नू तीरिसिद्दारॆ ऎंबुदु अत्यंत गमनार्हवाद अंश.
1667,"इस्माइल भाई, आज, अपने इलाके के सैंकड़ों और किसानों की भी मदद कर रहे हैं |","ಸ್ವಾರಸ್ಯಕರ ವಿಷಯವೆಂದರೆ, ಇಸ್ಮಾಯಿಲ್ ಭಾಯಿ, ನೆರೆಯ ಇನ್ನಿತರ ಹಲವಾರು ರೈತರಿಗೂ ನೆರವಾಗುತ್ತಿದ್ದಾರೆ.","स्वारस्यकर विषयवॆंदरॆ, इस्मायिल् भायि, नॆरॆय इन्नितर हलवारु रैतरिगू नॆरवागुत्तिद्दारॆ."
1668,उनकी भी ज़िंदगी बदल रहे हैं |,ಅವರೆಲ್ಲರ ಜೀವನವನ್ನೂ ಬದಲಾಯಿಸುತ್ತಿದ್ದಾರೆ.,अवरॆल्लर जीवनवन्नू बदलायिसुत्तिद्दारॆ.
1669,"साथियो, आज की तारीख में खेती को हम जितना आधुनिक विकल्प देंगे, उतना ही, वो, आगे बढ़ेगी, उसमें नये-नये तौर-तरीके आयेंगे, नये innovations जुड़ेंगे |","ಬಂಧುಗಳೇ, ಇಂದಿನ ದಿನಮಾನಗಳಲ್ಲಿ ನಾವು ಕೃಷಿಗೆ ಎಷ್ಟು ಅತ್ಯಾಧುನಿಕ ಸ್ಪರ್ಶ ನೀಡುತ್ತೇವೆಯೋ, ಅದು ಅಷ್ಟು ಪ್ರಗತಿ ಕಾಣುತ್ತೇವೆ. ಅದರಲ್ಲಿ ನವವೀನ ವಿಧಿವಿಧಾನಗಳು ಬರುತ್ತವೆ. ಹೊಸ ಹೊಸ ಆವಿಷ್ಕಾರಗಳು ಸೇರ್ಪಡೆಗೊಳ್ಳಲಿದೆ.","बंधुगळे, इंदिन दिनमानगळल्लि नावु कृषिगॆ ऎष्टु अत्याधुनिक स्पर्श नीडुत्तेवॆयो, अदु अष्टु प्रगति काणुत्तेवॆ. अदरल्लि नववीन विधिविधानगळु बरुत्तवॆ. हॊस हॊस आविष्कारगळु सेर्पडॆगॊळ्ळलिदॆ."
