,Kannada,Sanskrit,devanagari_kannada
1492,ಪ್ರಧಾನಮಂತ್ರಿ:,प्रधानमन्त्री :,प्रधानमंत्रि:
1493,- ಹಲೋಅಪರ್ಣಾ :,- हरिः ॐअपर्णा :,- हलोअपर्णा :
1494,- ಆದರಣೀಯ ಪ್ರಧಾನಮಂತ್ರಿಗಳೇ ನಮಸ್ಕಾರ.,"- नमस्कारः आदरणीय!प्रधानमन्त्रिमहोदय, ",- आदरणीय प्रधानमंत्रिगळे नमस्कार.
1495,ನೀವು ಹೇಗಿದ್ದೀರಿ ?,कथम् अस्ति भवान् ?,नीवु हेगिद्दीरि ?
1496,ಪ್ರಧಾನ ಮಂತ್ರಿ :,प्रधानमन्त्री :,प्रधान मंत्रि :
1497,- ನಾನು ಚೆನ್ನಾಗಿದ್ದೇನೆ.,- अहं कुशली,- नानु चॆन्नागिद्देनॆ.
1498,ನೀವು ಹೇಗಿದ್ದೀರಿ ಅಪರ್ಣಾ ಅವರೇ?,"भवती कथम् अस्ति, अपर्णामहोदये ?",नीवु हेगिद्दीरि अपर्णा अवरे?
1499,ಅಪರ್ಣಾ :,अपर्णा :,अपर्णा :
1500,- ಬಹಳ ಚೆನ್ನಾಗಿದ್ದೇನೆ ಸರ್.,- कुशलिनी अस्मि महोदय!,- बहळ चॆन्नागिद्देनॆ सर्.
1501,ನಮ್ಮಂತಹ ಕಲಾವಿದರನ್ನು ಈ ವೇದಿಕೆಗೆ ಕರೆದಿದ್ದೀರಿ ಮತ್ತು ನಮ್ಮೊಂದಿಗೆ ಮಾತನಾಡುತ್ತಿರುವುದಕ್ಕೆ ಎಲ್ಲಕ್ಕಿಂತ ಮೊದಲು Bangalore Story Telling Society ಪರವಾಗಿ ಧನ್ಯವಾದ ಹೇಳಲು ಬಯಸುತ್ತೇನೆ.,"प्रप्रथमम् अहं Bangalore Story Telling Society समवायपक्षतः धन्यवादभावं प्रकटयामि।यतोहि भवान् मादृशाः अत्र आहूय, अस्मादृशाभिः कलाकर्त्रीभिः सह सम्वादं कुर्वन्नस्ति।",नम्मंतह कलाविदरन्नु ई वेदिकॆगॆ करॆदिद्दीरि मत्तु नम्मॊंदिगॆ मातनाडुत्तिरुवुदक्कॆ ऎल्लक्किंत मॊदलु Bangalore Story Telling Society परवागि धन्यवाद हेळलु बयसुत्तेनॆ.
1502,ಪ್ರಧಾನ ಮಂತ್ರಿ:- ಇಂದು ಬಹಶಃ ನಿಮ್ಮ ಪೂರ್ತಿ ತಂಡ ನಿಮ್ಮೊಂದಿಗೆ ಕುಳಿತಿದೆ ಎಂದು ನಾನು ಕೇಳಿದ್ದೇನೆ.,प्रधानमन्त्री :- मया श्रुतं समग्रः अपि कार्यगणः तत्रभवत्या सह समुपस्थितः अस्ति।,प्रधान मंत्रि:- इंदु बहशः निम्म पूर्ति तंड निम्मॊंदिगॆ कुळितिदॆ ऎंदु नानु केळिद्देनॆ.
1503,ಅಪರ್ಣಾ :,अपर्णा :,अपर्णा :
1504,- ಹೌದು.ನಿಜ |,"- सत्यम् , .........",- हौदु.निज |
1505,ನಿಜ ಸರ್ |,सत्यं महोदय!,निज सर् |
1506,ಪ್ರಧಾನ ಮಂತ್ರಿ :,प्रधानमन्त्री :,प्रधान मंत्रि :
1507,- ಸರಿ ನಿಮ್ಮ ತಂಡದ ಪರಿಚಯ ಮಾಡಿಸಿದರೆ ಚೆನ್ನಾಗಿರುತ್ತದೆ.,- तर्हि सम्यक् भविष्यति यदि भवती स्वगणस्य परिचयं कारयिष्यति।,- सरि निम्म तंडद परिचय माडिसिदरॆ चॆन्नागिरुत्तदॆ.
1508,ಇದರಿಂದ ಮನ್ ಕಿ ಬಾತ್ ನ ಶ್ರೋತೃಗಳಿಗೆ ನೀವು ನಡೆಸುತ್ತಿರುವ ಇಷ್ಟು ದೊಡ್ಡ ಅಭಿಯಾನದ ಪರಿಚಯವಾಗುತ್ತದೆ.,"अनेन मनोगतस्य श्रोतारः अपि परिचिताः भविष्यन्ति, यत् भवतीभिः कथं बृहदभियानं प्रचाल्यमानम् अस्ति।",इदरिंद मन् कि बात् न श्रोतृगळिगॆ नीवु नडॆसुत्तिरुव इष्टु दॊड्ड अभियानद परिचयवागुत्तदॆ.
1509,ಅಪರ್ಣಾ:,अपर्णा :,अपर्णा:
1510,- ಸರ್.,- महोदय!,- सर्.
1511,"ನನ್ನ ಹೆಸರು ಅಪರ್ಣಾ ಆತ್ರೇಯ.ನಾನು ಇಬ್ಬರು ಮಕ್ಕಳ ತಾಯಿ, ಭಾರತೀಯ ವಾಯುಸೇನೆಯ ಅಧಿಕಾರಿಯ ಪತ್ನಿ ಮತ್ತು ಓರ್ವ passionate storyteller ಆಗಿದ್ದೇನೆ ಸರ್.","अहं बाल-द्वयस्य जननी, भारतीयवायुसेनाधिकारिणः पत्नी चास्मि, तथा चैका passionate storyteller इति भावुका कथाप्रवाचिका अस्मि","नन्न हॆसरु अपर्णा आत्रेय.नानु इब्बरु मक्कळ तायि, भारतीय वायुसेनॆय अधिकारिय पत्नि मत्तु ओर्व passionate storyteller आगिद्देनॆ सर्."
1512,ಕತೆ ಹೇಳುವ ಅಭ್ಯಾಸ 15 ವರ್ಷಗಳ ಹಿಂದೆ ನಾನು ಸಾಫ್ಟ್ ವೇರ್ ಉದ್ಯಮದಲ್ಲಿ ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದಾಗ ಆರಂಭವಾಯಿತು.,महोदय! कथा- कथनस्य आरम्भः पञ्चदशवर्षेभ्यः प्राक् आरब्धःयदाहं सोफ्टवेयर्-उद्योगे कार्यनिरता आसम्।,कतॆ हेळुव अभ्यास 15 वर्षगळ हिंदॆ नानु साफ्ट् वेर् उद्यमदल्लि कॆलस माडुत्तिद्दाग आरंभवायितु.
1513,ಆಗ ನಾನು CSR projects ನಲ್ಲಿ voluntary ಕೆಲಸ ಮಾಡುವುದಕ್ಕಾಗಿ ಹೋಗಿದ್ದಾಗ ಸಾವಿರಾರು ಮಕ್ಕಳಿಗೆ ಕತೆಗಳ ಮುಖಾಂತರ ಶಿಕ್ಷಣ ನೀಡುವ ಅವಕಾಶ ದೊರೆತಿತ್ತು ಮತ್ತು ನಾನು ಹೇಳುತ್ತಿದ್ದ ಈ ಕತೆ ಅವರು ತಮ್ಮ ಅಜ್ಜಿಯಿಂದ ಕೇಳಿದ್ದರು.,"यदाहं CSR–योजनायां स्वैच्छिक-कार्यार्थं यदा गता तदा सहस्रशो बालेभ्यः कथामाध्यमेन शिक्षा-प्रदानस्य अवसरः प्राप्तः।तथा चैषा कथा, यामहं श्रावयन्ती आसम्, तां मम पितामहीतः श्रुतवती।",आग नानु CSR projects नल्लि voluntary कॆलस माडुवुदक्कागि होगिद्दाग साविरारु मक्कळिगॆ कतॆगळ मुखांतर शिक्षण नीडुव अवकाश दॊरॆतित्तु मत्तु नानु हेळुत्तिद्द ई कतॆ अवरु तम्म अज्जियिंद केळिद्दरु.
1514,"ಆದರೆ ಕತೆ ಕೇಳುವ ಸಮಯದಲ್ಲಿ ನಾನು ಆ ಮಕ್ಕಳ ಮುಖದಲ್ಲಿ ಕಂಡ ಸಂತೋಷ ನಾನು ನಿಮಗೆ ಏನೆಂದು ಹೇಳಲಿ, ಎಷ್ಟೊಂದು ಮಂದಹಾಸವಿತ್ತು, ಎಷ್ಟೊಂದು ಸಂತೋಷವಿತ್ತು, ನನ್ನ ಜೀವನದಲ್ಲಿ ಕತೆ ಹೇಳುವುದು (Storytelling) ನನ್ನ ಜೀವನದ ಒಂದು ಗುರಿಯಾಗಬೇಕೆಂದು ನಾನು ಆಗಲೇ ನಿರ್ಧರಿಸಿಬಿಟ್ಟೆ ಸರ್.","परञ्च यदा कथां शृण्वन्तः बालाः यां प्रसन्नताम् अहं तेषां आननोपरि अपश्यम्, किं कथयेयं?कियन्तः ते स्मेराननाः आसन्?तस्मिन्नेव समये अहं निर्णीतवती यत् कथाकथनम् मदीय-जीवनस्य लक्ष्यमेकं भविष्यति, महोदय!","आदरॆ कतॆ केळुव समयदल्लि नानु आ मक्कळ मुखदल्लि कंड संतोष नानु निमगॆ एनॆंदु हेळलि, ऎष्टॊंदु मंदहासवित्तु, ऎष्टॊंदु संतोषवित्तु, नन्न जीवनदल्लि कतॆ हेळुवुदु (Storytelling) नन्न जीवनद ऒंदु गुरियागबेकॆंदु नानु आगले निर्धरिसिबिट्टॆ सर्."
1515,ಪ್ರಧಾನ ಮಂತ್ರಿ:,प्रधानमन्त्री :,प्रधान मंत्रि:
1516,- ನಿಮ್ಮ ತಂಡದಲ್ಲಿ ಮತ್ಯಾರಿದ್ದಾರೆ?,- भवत्याः गणे तत्र काः काः सन्ति?,- निम्म तंडदल्लि मत्यारिद्दारॆ?
1517,ಅಪರ್ಣಾ:,अपर्णा :,अपर्णा:
1518,- ನನ್ನೊಂದಿಗೆ ಶೈಲಜಾ ಸಂಪತ್ ಇದ್ದಾರೆ.,"- मया सह अस्ति, शैलजासम्पत्महोदया।",- नन्नॊंदिगॆ शैलजा संपत् इद्दारॆ.
1519,ಶೈಲಜಾ:,शैलजा : ,शैलजा:
1520,- ನಮಸ್ಕಾರ ಸರ್ |,नमस्कारः श्रीमन्!,- नमस्कार सर् |
1521,ಪ್ರಧಾನ ಮಂತ್ರಿ:,प्रधानमन्त्री :,प्रधान मंत्रि:
1522,- ನಮಸ್ತೇ |,- नमोनमः,- नमस्ते |
1523,ಶೈಲಜಾ:,शैलजा :,शैलजा:
1524,- ನಾನು ಶೈಲಜಾ ಸಂಪತ್ ಮಾತನಾಡುತ್ತಿದ್ದೇನೆ.,- अहं शैलजासम्पत् वदामि।,- नानु शैलजा संपत् मातनाडुत्तिद्देनॆ.
1525,ನಂತರ ನನ್ನ ಮಕ್ಕಳು ದೊಡ್ಡವರಾದಾಗ ನಾನು ಥಿಯೇಟರ್ ನಲ್ಲಿ ಕೆಲಸ ಆರಂಭಿಸಿದೆ ಮತ್ತು ಅಂತಿಮವಾಗಿ ಕತೆಗಳನ್ನು ಕೇಳಿಸುವುದರಲ್ಲಿ ಅತ್ಯಂತ ಹೆಚ್ಚು ಸಂತೃಪ್ತಿ ದೊರೆಯಿತು.,"पूर्वम् अहं शिक्षिका आसम्, तदनन्तरं यदा मम सन्ततयः ज्येष्ठाः अभवन्, तदा अहं नाट्यमञ्चन-कर्मणि संलग्ना अभवम्एवम् अन्ततः कथाकथने सर्वथा सन्तुष्टा अभवम्।",नंतर नन्न मक्कळु दॊड्डवरादाग नानु थियेटर् नल्लि कॆलस आरंभिसिदॆ मत्तु अंतिमवागि कतॆगळन्नु केळिसुवुदरल्लि अत्यंत हॆच्चु संतृप्ति दॊरॆयितु.
1526,ಪ್ರಧಾನ ಮಂತ್ರಿ:,प्रधानमन्त्री :,प्रधान मंत्रि:
1527,- ಧನ್ಯವಾದ !ಶೈಲಜಾ:,- धन्यवादः !शैलजा :,- धन्यवाद !शैलजा:
1528,- ನನ್ನೊಂದಿಗೆ ಸೌಮ್ಯಾ ಇದ್ದಾರೆ |,- मया सह सौम्या अस्ति,- नन्नॊंदिगॆ सौम्या इद्दारॆ |
1529,ಸೌಮ್ಯಾ:,सौम्या :,सौम्या:
1530,- ನಮಸ್ಕಾರ ಸರ್ !ಪ್ರಧಾನಮಂತ್ರಿ:,- नमस्कारः महोदय!प्रधानमन्त्री :,- नमस्कार सर् !प्रधानमंत्रि:
1531,- ನಮಸ್ತೇ!ಸೌಮ್ಯಾ:,- नमस्ते!सौम्या :,- नमस्ते!सौम्या:
1532,- ನನ್ನ ಹೆಸರು ಸೌಮ್ಯಾ ಶ್ರೀನಿವಾಸನ್ |,- अहं सौम्याश्रीनिवासन्।,- नन्न हॆसरु सौम्या श्रीनिवासन् |
1533,ನಾನು ಓರ್ವ psychologist ಆಗಿದ್ದೇನೆ.,अहं मनोवैज्ञानिका अस्मि।,नानु ओर्व psychologist आगिद्देनॆ.
1534,"ಮಕ್ಕಳು ಮತ್ತು ದೊಡ್ಡವರೊಂದಿಗೆ ನಾನು ಕೆಲಸ ಮಾಡುವಾಗ, ನಾನು ಕತೆಗಳ ಮುಖಾಂತರ ಮನುಷ್ಯನ ನವರಸಗಳನ್ನು ಜಾಗೃತಗೊಳಿಸುವ ಪ್ರಯತ್ನ ಮಾಡುತ್ತೇನೆ ಮತ್ತು ಅವರುಗಳೊಂದಿಗೆ ಚರ್ಚಿಸುತ್ತೇನೆ ಕೂಡಾ.","यदा अहं कार्यं करोमि, बालैः, वृद्धैः सह, तत्र कथाभिः मनुष्यवर्त्तिनः नवरसान् जागरयितुं यते, चर्चाम् अपि करोमि।","मक्कळु मत्तु दॊड्डवरॊंदिगॆ नानु कॆलस माडुवाग, नानु कतॆगळ मुखांतर मनुष्यन नवरसगळन्नु जागृतगॊळिसुव प्रयत्न माडुत्तेनॆ मत्तु अवरुगळॊंदिगॆ चर्चिसुत्तेनॆ कूडा."
1535,`ಗುಣಪಡಿಸುವುದು ಮತ್ತು ಪರಿವರ್ತನಾತ್ಮಕ ಕತೆ ಹೇಳುವುದು' (`Healing and transformative storytelling') ಇದು ನನ್ನ ಗುರಿಯಾಗಿದೆ.,“Healing and Transformative Story Telling” इति उपचार-परिवर्तनयुतानां कथानां कथनं मम लक्ष्यम्।,`गुणपडिसुवुदु मत्तु परिवर्तनात्मक कतॆ हेळुवुदु' (`Healing and transformative storytelling') इदु नन्न गुरियागिदॆ.
1536,ಅಪರ್ಣಾ:,अपर्णा :,अपर्णा:
1537,- ನಮಸ್ತೇ ಸರ್ !ಪ್ರಧಾನ ಮಂತ್ರಿ:,- महोदय! नमस्तेप्रधानमन्त्री :,- नमस्ते सर् !प्रधान मंत्रि:
1538,- ನಮಸ್ತೇ.,- नमोनमः!,- नमस्ते.
1539,ಅಪರ್ಣಾ:,अपर्णा :,अपर्णा:
1540,ನನ್ನ ಹೆಸರು ಅಪರ್ಣಾ ಜೈಶಂಕರ್.,- मम नाम अपर्णा-जयशङ्करः।,नन्न हॆसरु अपर्णा जैशंकर्.
1541,"ಅಂದಹಾಗೆ ನಾನು ನನ್ನ ತಾಯಿಯ ಅಪ್ಪ–ಅಮ್ಮನ ಮತ್ತು ತಂದೆಯ ತಾಯಿಯ (ಅಜ್ಜ–ಅಜ್ಜಿಯರ) ಜೊತೆಯಲ್ಲಿ ಈ ದೇಶದ ಅನೇಕ ಭಾಗಗಳಲ್ಲಿ ಬೆಳೆದು ದೊಡ್ಡವಳಾಗಿರುವುದು ನನ್ನ ಸೌಭಾಗ್ಯವಾಗಿದೆ.ಆದ್ದರಿಂದ ರಾಮಾಯಣ, ಪುರಾಣ ಮತ್ತು ಗೀತೆಯ ಕತೆಗಳು ನನಗೆ ಅನುವಂಶಿಕವಾಗಿ ಪ್ರತಿ ದಿನ ಕೇಳಲು ಸಿಗುತ್ತಿತ್ತು ಮತ್ತು Bangalore Storytelling Society ನಂತಹ ಸಂಸ್ಥೆಯಿರುವಾಗ ನಾನು storyteller ಆಗಲೇ ಬೇಕಿತ್ತು.","यद्यपि मम सौभाग्यम् अस्ति यत् अहं स्वीयैः मातामह-पितामहेत्यादिभिः सह देशेsस्मिन् पोषिता वर्धिता च अभवम्, अतः गीता-पुराण-रामायणकथाः प्रतिरात्रि न्यासरूपेण प्राप्ताः पुनः Banglore Storytelling Society-सदृशा संस्था अस्तिअतः मया तु कथाप्रवाचिकया एव भाव्यम् आसीत्।","अंदहागॆ नानु नन्न तायिय अप्प–अम्मन मत्तु तंदॆय तायिय (अज्ज–अज्जियर) जॊतॆयल्लि ई देशद अनेक भागगळल्लि बॆळॆदु दॊड्डवळागिरुवुदु नन्न सौभाग्यवागिदॆ.आद्दरिंद रामायण, पुराण मत्तु गीतॆय कतॆगळु ननगॆ अनुवंशिकवागि प्रति दिन केळलु सिगुत्तित्तु मत्तु Bangalore Storytelling Society नंतह संस्थॆयिरुवाग नानु storyteller आगले बेकित्तु."
1542,ನನ್ನೊಂದಿಗೆ ನನ್ನ ಒಡನಾಡಿ ಲಾವಣ್ಯ ಪ್ರಸಾದ್ ಇದ್ದಾರೆ.,मया सह मम सहयोगिनी लावण्याप्रसादः अस्ति।,नन्नॊंदिगॆ नन्न ऒडनाडि लावण्य प्रसाद् इद्दारॆ.
1543,ಪ್ರಧಾನ ಮಂತ್ರಿ:,प्रधानमन्त्री :,प्रधान मंत्रि:
1544,"- ಲಾವಣ್ಯಾ ಅವರೇ, ನಮಸ್ತೇ!ಲಾವಣ್ಯ:",- लावण्ये ! नमस्ते !लावण्या :,"- लावण्या अवरे, नमस्ते!लावण्य:"
1545,- ನಮಸ್ತೇ ಸರ್.,- नमोनमः महोदय !,- नमस्ते सर्.
1546,(I am an Electrical Engineer turned professional storyteller.,"अहम् एका विद्युद्अभियन्त्री, या सम्प्रति कथाप्रवाचिका अजायत।",(I am an Electrical Engineer turned professional storyteller.
1547,"Sir, I grew up listening to stories from my grandfather.",महोदय ! स्वपितामह-मुखेन कथाः शृण्वन्ती अहं ज्येष्ठा अभवम्।,"Sir, I grew up listening to stories from my grandfather."
1548,I work with senior citizens.,अहं वयोवृद्धैः सह कार्यं करोमि।,I work with senior citizens.
1549,In my special project called `Roots' where I help them document their life stories for their families.)ಪ್ರಧಾನ ಮಂತ್ರಿ:,मम विशिष्टा “Roots” नाम्नी परियोजना अस्ति यस्यां तेषां जीवनाधारितानां कथानां निर्माणाय तेषां कुटुम्बिभ्यः सहयोगं करोमि।प्रधानमन्त्री :-,In my special project called `Roots' where I help them document their life stories for their families.)प्रधान मंत्रि:
1550,"- ಲಾವಣ್ಯಾ ಅವರಿಗೆ, ನಿಮಗೆ ಅಭಿನಂದನೆಗಳು.", लावण्यामहोदये!भवत्यै कोटिशः वर्धापनानि।,"- लावण्या अवरिगॆ, निमगॆ अभिनंदनॆगळु."
1551,"ನೀವು ಹೇಳಿದ ಹಾಗೆ ನಾನು ಕೂಡಾ ಒಮ್ಮೆ `ಮನದ ಮಾತಿನಲ್ಲಿ' ಎಲ್ಲರಿಗೂ ಹೇಳಿದ್ದೆ, ನೀವುಗಳು ಕೂಡಾ ಕುಟುಂಬದಲ್ಲಿ ನಿಮ್ಮ ಅಜ್ಜ–ಅಜ್ಜಿಯರಿದ್ದರೆ, ಅವರುಗಳಿಂದ ಅವರ ಬಾಲ್ಯದ ಕತೆಗಳನ್ನು ಹೇಳಿರೆಂದು ಕೇಳಿ ಮತ್ತು ಅವುಗಳನ್ನು ರೆಕಾರ್ಡ್ ಮಾಡಿಕೊಳ್ಳಿ, ಮುಂದೆ ಬಹಳ ಉಪಯೋಗಕ್ಕೆ ಬರುತ್ತದೆ ಎಂದು.","यथा भवत्या कथितं, मया अपि एकवारं ‘मनोगतम्’-प्रसारणे निवेदितमासीत् यत् भवतां परिवारे मातामह-पितामहादयः सन्ति तर्हि तेषां तासाञ्च बाल्यकालवार्ताः कथाः च पृच्छन्तु, अथ च तस्य छायाङ्कनं ध्वन्यङ्कनं वा कुर्वन्तु एतत् महल्-लाभाय च भविष्यति- इति अहम् उक्तवान्।","नीवु हेळिद हागॆ नानु कूडा ऒम्मॆ `मनद मातिनल्लि' ऎल्लरिगू हेळिद्दॆ, नीवुगळु कूडा कुटुंबदल्लि निम्म अज्ज–अज्जियरिद्दरॆ, अवरुगळिंद अवर बाल्यद कतॆगळन्नु हेळिरॆंदु केळि मत्तु अवुगळन्नु रॆकार्ड् माडिकॊळ्ळि, मुंदॆ बहळ उपयोगक्कॆ बरुत्तदॆ ऎंदु."
1552,"ನೀವೆಲ್ಲರೂ ನಿಮ್ಮ ಮತ್ತು ನಿಮ್ಮ ಕಲೆ, ನಿಮ್ಮ ಸಂವಹನ ಕೌಶಲ್ಯ (communication skill) ಮತ್ತು ಕಡಿಮೆ ಶಬ್ದಗಳಲ್ಲಿ ಬಹಳ ಉತ್ತಮ ರೀತಿಯಲ್ಲಿ ನಿಮ್ಮ ನಿಮ್ಮ ಪರಿಚಯ ಮಾಡಿಕೊಂಡಿರಿ ಇದಕ್ಕಾಗಿ ಕೂಡಾ ನಾನು ನಿಮಗೆ ಅಭಿನಂದನೆ ಹೇಳುತ್ತೇನೆ.","प्रमुदितः अस्मि यत् भवतीभिः सर्वाभिः स्वपरिचयः उक्तः, तत्रापि भवतीनां कला वक्तृत्वकौशलञ्च प्रशंसार्हे स्तः, अल्पशब्दैः उत्तमरीत्या च परिचयं दातुं सर्वाः अपि वर्धापयामि।","नीवॆल्लरू निम्म मत्तु निम्म कलॆ, निम्म संवहन कौशल्य (communication skill) मत्तु कडिमॆ शब्दगळल्लि बहळ उत्तम रीतियल्लि निम्म निम्म परिचय माडिकॊंडिरि इदक्कागि कूडा नानु निमगॆ अभिनंदनॆ हेळुत्तेनॆ."
1553,ಪ್ರಧಾನಮಂತ್ರಿ :,” प्रधानमन्त्री :,प्रधानमंत्रि :
1554,ಇದು ಸ್ವಾರಸ್ಯಕರವಾಗಿತ್ತಲ್ಲವೇ! ಇದು ಮಾಲಿ ದೇಶದ ಸೇದೂ ದೆಂಬೇಲೆಯ ವೃತ್ತಾಂತ.,तर्हि अयमासीत् – माली-देशस्य सेदू-देमबेले,इदु स्वारस्यकरवागित्तल्लवे! इदु मालि देशद सेदू दॆंबेलॆय वृत्तांत.
1555,"ಮಾಲಿಯು, ಭಾರತದಿಂದ ದೂರವಿರುವ ಪಶ್ಚಿಮ ಆಫ್ರಿಕಾದ ಒಂದು ದೊಡ್ಡ ಮತ್ತು ಬರೀ ಭೂಪ್ರದೇಶದಿಂದ ಸುತ್ತುವರಿದ ಒಂದು ದೇಶ.","मालीदेशः भारताद् सुदूरम्, पश्चिम-अफ्रिकाद्वीपस्य अन्यतमः बृहत्-भूमिबद्धः देश अस्ति।","मालियु, भारतदिंद दूरविरुव पश्चिम आफ्रिकाद ऒंदु दॊड्ड मत्तु बरी भूप्रदेशदिंद सुत्तुवरिद ऒंदु देश."
1556,"ಸೇದೂ ದೆಂಬೇಲೆ, ಮಾಲಿ ದೇಶದ ಕಿಟಾ ನಗರದ ಒಂದು ಪಬ್ಲಿಕ್ ಸ್ಕೂಲ್‍ನ ಶಿಕ್ಷಕ. ಮಕ್ಕಳಿಗೆ ಅವರು ಇಂಗ್ಲೀಷ್ ಭಾಷೆ, ಸಂಗೀತ ಮತ್ತು ಚಿತ್ರಕಲೆ ಹಾಗೂ ಪೈಂಟಿಂಗ್ ವಿಷಯಗಳನ್ನು ಹೇಳಿಕೊಡುತ್ತಾರೆ.","सेदू- देमबेले, माली-देशस्य, Kita-नामकस्य नगरस्य सार्वजनिकविद्यालये शिक्षक अस्ति, सः बालकान् आङ्ग्लभाषां सङ्गीतं चित्राकलादिविषयान् पाठयति शिक्षयति च।","सेदू दॆंबेलॆ, मालि देशद किटा नगरद ऒंदु पब्लिक् स्कूल्‍न शिक्षक. मक्कळिगॆ अवरु इंग्लीष् भाषॆ, संगीत मत्तु चित्रकलॆ हागू पैंटिंग् विषयगळन्नु हेळिकॊडुत्तारॆ."
1557,"ಆದರೆ ಇದರೊಂದಿಗೆ ಅವರ ಇನ್ನೊಂದು ಮುಖವೂ ಇದೆ, ಜನರು ಅವರನ್ನು ಮಾಲಿಯ `ಹಿಂದೂಸ್ತಾನಿ ಬಾಬು’ ಎಂದು ಕರೆಯುತ್ತಾರೆ. ಹಾಗೂ ಹೀಗೆ ಕರೆಸಿಕೊಳ್ಳುವುದರಿಂದಅವರಿಗೆ ಹೆಮ್ಮೆಯ ಅನುಭವವಾಗುತ್ತದೆ.","परञ्च तस्यापरमेकं अभिज्ञानमस्ति - जनाः तं मालीदेशस्य ‘हिन्दुस्तान का बाबू’ इति कथयन्ति, तथा च, एवंविधे सम्बोधने सः अतिशयं गर्वमनुभवति।","आदरॆ इदरॊंदिगॆ अवर इन्नॊंदु मुखवू इदॆ, जनरु अवरन्नु मालिय `हिंदूस्तानि बाबु’ ऎंदु करॆयुत्तारॆ. हागू हीगॆ करॆसिकॊळ्ळुवुदरिंदअवरिगॆ हॆम्मॆय अनुभववागुत्तदॆ."
1558,ಪ್ರತಿ ಭಾನುವಾರ ಮಧ್ಯಾಹ್ನದ ನಂತರ ಮಾಲಿ ದೇಶದಲ್ಲಿ ಒಂದು ಗಂಟೆಯ ರೇಡಿಯೋ ಕಾರ್ಯಕ್ರಮ ಪ್ರಸ್ತುತಪಡಿಸುತ್ತಾರೆ. ಈ ಕಾರ್ಯಕ್ರಮದ ಹೆಸರು `ಇಂಡಿಯನ್ ಫ್ರೀಕೆನ್ಸಿ ಆನ್ ಬಾಲಿವುಡ್ ಸಾಂಗ್ಸ್’ ಎಂದು.,"प्रत्येकं रविवारे अपराह्णानन्तरं सः मालीदेशे होरावधिकं रेडियोकार्यक्रमं प्रस्तौति, कार्यक्रमस्य नामास्ति- Indian frequency on Bollywood songs",प्रति भानुवार मध्याह्नद नंतर मालि देशदल्लि ऒंदु गंटॆय रेडियो कार्यक्रम प्रस्तुतपडिसुत्तारॆ. ई कार्यक्रमद हॆसरु `इंडियन् फ्रीकॆन्सि आन् बालिवुड् सांग्स्’ ऎंदु.
1559,ಇದನ್ನು ಕಳೆದ 23 ವರ್ಷಗಳಿಂದ ಪ್ರಸಾರ ಮಾಡುತ್ತಾ ಬಂದಿರುತ್ತಾರೆ!,विगतेभ्यः त्रयोविंशवर्षेभ्यः सः कार्यक्रममेनं प्रसारयति।,इदन्नु कळॆद 23 वर्षगळिंद प्रसार माडुत्ता बंदिरुत्तारॆ!
1560,ಈ ಕಾರ್ಯಕ್ರಮದಲ್ಲಿ ಅವರು ಫ್ರೆಂಚ್ ಭಾಷೆಯ ಜೊತೆಗೆ ಮಾಲಿಯ ಸ್ಥಳೀಯ ಭಾಷೆ `ಬಂಬಾರಾ’ದಲ್ಲಿಯೂ ಸಹ ತಮ್ಮ ವಿವರಣೆಯನ್ನು ಅದರಲ್ಲೂ ಅತ್ಯಂತ ನಾಟಕೀಯ ರೀತಿಯಲ್ಲಿ ನೀಡುತ್ತಾರೆ.,"अस्य कार्यक्रमस्य अवसरे सः फ्रान्स्-भाषया सहैव मालीदेशस्य ‘बमबारा’इति लोकभाषयापि स्वीयां प्रसार्यां टिप्पणीं करोति, तथा च अतितरां नाटकीयरीत्या करोति।",ई कार्यक्रमदल्लि अवरु फ्रॆंच् भाषॆय जॊतॆगॆ मालिय स्थळीय भाषॆ `बंबारा’दल्लियू सह तम्म विवरणॆयन्नु अदरल्लू अत्यंत नाटकीय रीतियल्लि नीडुत्तारॆ.
1561,ಭಾರತದ ಬಗ್ಗೆ ಅವರ ಮನದಲ್ಲಿ ಅಗಾಧ ಪ್ರೇಮ!,भारतं प्रति तस्य मनसि प्रगाढं प्रेमास्ति।,भारतद बग्गॆ अवर मनदल्लि अगाध प्रेम!
